0;7014b6fff306433b88749db1f5daf735;vertical;;;;Peer-Learning Question Video;/64746ad0f2b84ce2af1f1b627c735866/75ab2eca1adf4549a9cef652cd48e679/7014b6fff306433b88749db1f5daf735;;
0;ebe067ccbbb54789870760ebae7cc5e8;sequential;;;;ebe067ccbbb54789870760ebae7cc5e8;/64746ad0f2b84ce2af1f1b627c735866/ebe067ccbbb54789870760ebae7cc5e8;;
0;a2ecd82612b44e7dba879e6c3470be89;vertical;;;;Lecture VIdeo;/64746ad0f2b84ce2af1f1b627c735866/ebe067ccbbb54789870760ebae7cc5e8/a2ecd82612b44e7dba879e6c3470be89;;
0;cfd8fc5538964ba9b1dda821ae87f7a2;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/ebe067ccbbb54789870760ebae7cc5e8/cfd8fc5538964ba9b1dda821ae87f7a2;;
0;ed8989cf81274301a5b6b6ab03058e04;vertical;;;;Peer-Learning Video;/64746ad0f2b84ce2af1f1b627c735866/ebe067ccbbb54789870760ebae7cc5e8/ed8989cf81274301a5b6b6ab03058e04;;
0;467ff8114253405487db518231efe212;sequential;;;;467ff8114253405487db518231efe212;/64746ad0f2b84ce2af1f1b627c735866/467ff8114253405487db518231efe212;;
0;f46426e080ab498282186b45775e6e24;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/467ff8114253405487db518231efe212/f46426e080ab498282186b45775e6e24;;
0;c2449916b28947b485f32c5722eeb30c;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/467ff8114253405487db518231efe212/c2449916b28947b485f32c5722eeb30c;;
0;7829f3480325413f952586598836a532;vertical;;;;Peer-Learning Question Video ;/64746ad0f2b84ce2af1f1b627c735866/467ff8114253405487db518231efe212/7829f3480325413f952586598836a532;;
0;5469b72fd8cf417988523a0bf9ad3cdd;sequential;;;;5469b72fd8cf417988523a0bf9ad3cdd;/64746ad0f2b84ce2af1f1b627c735866/5469b72fd8cf417988523a0bf9ad3cdd;;
0;4ba86636b4ab46c8b36d659e9df24a31;vertical;;;;Lecture Video;/64746ad0f2b84ce2af1f1b627c735866/5469b72fd8cf417988523a0bf9ad3cdd/4ba86636b4ab46c8b36d659e9df24a31;;
0;8c65d40e1ea44ca29c4b75c9e9e253ac;vertical;;;;Peer-Learning Question;/64746ad0f2b84ce2af1f1b627c735866/5469b72fd8cf417988523a0bf9ad3cdd/8c65d40e1ea44ca29c4b75c9e9e253ac;;
0;43dbb36012b94acc9fa8094242914909;chapter;;;;Enhancing SaaS with JavaScript;/43dbb36012b94acc9fa8094242914909;;
